label,label_id,box_xtl,box_ytl,box_xbr,box_ybr,confidence,frame_id
Female,1,702,435,808,514,0.34856972,162
Female,1,64,254,146,316,0.516687,163
Female,1,702,434,808,513,0.33651382,163
Female,1,63,253,144,315,0.5245969,164
Female,1,703,434,809,512,0.37120515,164
Female,1,63,252,146,316,0.55407846,165
Female,1,704,434,809,511,0.468517,165
Female,1,63,253,145,315,0.55124295,166
Female,1,703,434,809,512,0.44746932,166
Female,1,63,253,145,315,0.5645928,167
Female,1,703,435,808,512,0.4622867,167
Female,1,63,253,145,315,0.5473389,168
Female,1,702,436,808,513,0.43435943,168
Female,1,62,253,144,316,0.5866744,169
Female,1,701,437,807,515,0.44378805,169
Female,1,65,253,147,316,0.55148166,170
Female,1,701,437,807,515,0.43967858,170
Female,1,66,254,148,315,0.5032753,171
Female,1,702,438,805,515,0.42237708,171
Female,1,65,254,146,315,0.53876394,172
Female,1,65,254,146,315,0.5498333,173
Female,1,718,266,855,364,0.31845087,173
Female,1,64,254,144,315,0.5277796,174
Female,1,719,262,846,365,0.43665206,174
Female,1,64,254,144,315,0.49178633,175
Female,1,722,261,848,363,0.43487978,175
Female,1,702,438,805,516,0.3029216,175
Female,1,65,254,145,315,0.5310883,176
Female,1,724,261,848,363,0.41491264,176
Female,1,64,254,145,315,0.5139192,177
Female,1,728,259,852,365,0.37753946,177
Female,1,64,254,144,315,0.5259894,178
Female,1,730,261,858,371,0.31757775,178
Female,1,64,254,145,315,0.51872647,179
Female,1,734,257,859,372,0.33637965,179
Female,1,65,253,146,315,0.61150175,180
Female,1,732,260,860,371,0.43097574,180
Male,0,1477,350,1550,416,0.410088,180
Female,1,65,254,146,315,0.5888558,181
Female,1,724,266,860,377,0.42246312,181
Male,0,1481,349,1549,413,0.3943588,181
Female,1,66,254,147,315,0.54146725,182
Female,1,725,267,853,363,0.4921596,182
Male,0,1484,344,1554,414,0.45374492,182
Female,1,725,265,853,361,0.49749675,183
Male,0,1491,345,1560,415,0.48780885,183
Female,1,66,254,146,315,0.47356576,183
Female,1,67,254,147,315,0.50516915,184
Male,0,1489,345,1558,415,0.47136706,184
