label,label_id,points,type,confidence,frame_id
Male,0.0,"[1502, 362, 1585, 411]",rectangle,0.64480805,456
Male,0.0,"[1502, 362, 1577, 409]",rectangle,0.64266074,457
Male,0.0,"[1500, 360, 1566, 406]",rectangle,0.6453924,458
Male,0.0,"[1500, 358, 1566, 411]",rectangle,0.5976269,459
Female,1.0,"[1499, 357, 1590, 418]",rectangle,0.5779139,460
Female,1.0,"[1523, 134, 1632, 195]",rectangle,0.3167686,464
Female,1.0,"[1523, 133, 1627, 192]",rectangle,0.32942453,465
Female,1.0,"[1525, 133, 1630, 192]",rectangle,0.3788466,466
Female,1.0,"[1525, 132, 1640, 193]",rectangle,0.40223026,467
Female,1.0,"[1527, 132, 1640, 192]",rectangle,0.47327742,468
Female,1.0,"[1528, 132, 1639, 192]",rectangle,0.46105862,469
Female,1.0,"[1527, 132, 1640, 191]",rectangle,0.4517613,470
Female,1.0,"[1528, 132, 1640, 191]",rectangle,0.43921372,471
Female,1.0,"[1529, 132, 1640, 191]",rectangle,0.44669458,472
Female,1.0,"[1528, 131, 1640, 191]",rectangle,0.3934549,473
Female,1.0,"[1529, 131, 1636, 191]",rectangle,0.45984057,474
Female,1.0,"[1527, 131, 1638, 192]",rectangle,0.5156385,475
Female,1.0,"[1527, 132, 1641, 194]",rectangle,0.54324526,476
Male,0.0,"[1834, 827, 1915, 913]",rectangle,0.35873225,477
Female,1.0,"[1534, 134, 1636, 192]",rectangle,0.33593082,477
Male,0.0,"[1775, 820, 1915, 911]",rectangle,0.49138716,478
Male,0.0,"[1776, 821, 1915, 910]",rectangle,0.48509502,479
Male,0.0,"[1799, 828, 1909, 908]",rectangle,0.3107465,480
Male,0.0,"[1788, 824, 1910, 905]",rectangle,0.34378844,482
Male,0.0,"[1803, 822, 1913, 911]",rectangle,0.32393062,483
Male,0.0,"[1835, 819, 1917, 909]",rectangle,0.32762524,484
Male,0.0,"[1378, 890, 1527, 966]",rectangle,0.32908309,494
Male,0.0,"[1363, 887, 1522, 963]",rectangle,0.46261042,495
Male,0.0,"[1349, 875, 1504, 961]",rectangle,0.5087066,496
Male,0.0,"[1350, 867, 1507, 961]",rectangle,0.5526913,497
Male,0.0,"[1350, 865, 1503, 959]",rectangle,0.5346049,498
Male,0.0,"[1351, 865, 1501, 956]",rectangle,0.49790943,499
Male,0.0,"[1349, 864, 1502, 960]",rectangle,0.4956466,500
Female,1.0,"[1882, 621, 1920, 714]",rectangle,0.32809517,516
Female,1.0,"[1882, 626, 1920, 714]",rectangle,0.32444748,517
Female,1.0,"[1881, 625, 1920, 714]",rectangle,0.33157367,518
Female,1.0,"[1459, 362, 1581, 450]",rectangle,0.3290882,530
Female,1.0,"[749, 250, 854, 324]",rectangle,0.51481444,544
Female,1.0,"[730, 243, 857, 328]",rectangle,0.7047155,545
Female,1.0,"[728, 243, 850, 327]",rectangle,0.7247541,546
Female,1.0,"[729, 243, 849, 326]",rectangle,0.7135079,547
Female,1.0,"[729, 241, 853, 325]",rectangle,0.6814226,548
Female,1.0,"[735, 240, 852, 322]",rectangle,0.6944494,549
Female,1.0,"[738, 238, 854, 322]",rectangle,0.678455,550
